Quarterback,ESPN_Top300,TotalPts_2016
C.Newton,1,226.36
A.Rodgers,2,403.12
R.Wilson,3,272.76
A.Luck,4,329.6
D.Brees,5,400.32
B.Roethlisberger,6,300.76
C.Palmer,7,297.32
T.Brady,8,306.16
E.Manning,9,285.08
B.Bortles,10,262.2
P.Rivers,11,331.44
T.Taylor,12,210.92
K.Cousins,13,322.68
D.Carr,14,313.48
M.Mariota,15,275.04
M.Stafford,16,297.08
A.Dalton,17,260.24
R.Fitzpatrick,19,146.4
R.Tannehill,20,209.8
M.Ryan,21,411.76
B.Osweiler,22,176.28
J.Flacco,23,262.68
J.Cutler,24,56.36
A.Smith,26,214.08
S.Bradford,29,265.08
B.Gabbert,31,55
T.Romo,32,7.16
C.Keenum,33,120.04
